 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,IntDen,Median,%Area,RawIntDen,Slice,AR,Round,Solidity
63,m44i-4.bmp,7,255,255,255,248.786,329.643,248.786,329.643,9.071,247,328,3,3,1.000,1785,255,100,1785,1,1.380,0.725,0.875
64,m44i-4.bmp,54,255,255,255,22.185,339.833,22.185,339.833,25.799,18,335,8,9,1.000,13770,255,100,13770,1,1.125,0.889,0.900
65,m44i-4.bmp,16,255,255,255,504.375,341.875,504.375,341.875,15.314,502,340,5,4,0.857,4080,255,100,4080,1,1.467,0.682,0.865
66,m44i-4.bmp,180,255,255,255,77.172,351.750,77.172,351.750,49.113,70,343,14,17,0.938,45900,255,100,45900,1,1.236,0.809,0.930
67,m44i-4.bmp,2,255,255,255,151.000,344.500,151.000,344.500,4.243,150,344,2,1,1.000,510,255,100,510,1,2.000,0.500,1.000
68,m44i-4.bmp,299,255,255,255,173.711,362.624,173.711,362.624,76.770,161,350,22,22,0.638,76245,255,100,76245,1,1.511,0.662,0.856
69,m44i-4.bmp,5,255,255,255,497.700,356.100,497.700,356.100,7.657,496,355,3,2,1.000,1275,255,100,1275,1,1.553,0.644,0.909
70,m44i-4.bmp,59,255,255,255,305.992,363.703,305.992,363.703,29.213,302,359,8,10,0.869,15045,255,100,15045,1,1.238,0.808,0.881
71,m44i-4.bmp,29,255,255,255,457.017,362.328,457.017,362.328,20.142,453,360,8,5,0.898,7395,255,100,7395,1,1.507,0.663,0.866
72,m44i-4.bmp,596,255,255,255,64.186,385.448,64.186,385.448,136.024,41,372,44,26,0.405,151980,255,100,151980,1,2.027,0.493,0.659
73,m44i-4.bmp,78,255,255,255,455.103,385.282,455.103,385.282,48.870,445,380,20,10,0.410,19890,255,100,19890,1,5.084,0.197,0.800
74,m44i-4.bmp,11,255,255,255,108.409,386.864,108.409,386.864,11.071,107,385,3,4,1.000,2805,255,100,2805,1,1.372,0.729,0.957
